,cid
544,155986093
545,86818218
546,46278687
547,2738189
548,5308835
549,4268462
550,3791279
551,16254269
552,1483230
553,16810315
554,129000359
555,688126
556,43342473
557,17462697
558,86819142
559,2981825
560,42920682
561,124069140
562,6460059
563,75375954
564,46285580
565,16032599
566,7424416
567,16227432
568,135436006
569,651385
570,717136
571,56700394
572,6493258
573,2455783
574,124209104
575,2787265
576,17012070
577,5011023
578,16881331
579,4209397
580,4411541
581,3357927
582,20915033
583,3152
584,17011331
585,2052971
586,816658
587,45504623
588,16268187
589,3239518
590,382975
591,3386512
592,4070737
593,135527652
594,739868
595,167551
596,9100156
597,52105255
598,58507717
599,2987214
600,92604251
601,110265272
602,100645584
603,1979250
604,5346093
605,22511959
606,40958345
607,992292
608,78382
609,119103858
610,17453836
611,674114
612,709558
613,16291765
614,86818691
615,56747546
616,1046604
617,3154563
618,110085230
619,135519709
620,124079089
621,72149509
622,76955562
623,16031785
624,46111580
625,448201
626,16370569
627,1398494
628,74983920
629,46282046
630,126854337
631,2291809
632,6402994
633,7272820
634,4255661
635,729940
636,53045558
637,579861
638,72114395
639,17430007
640,17425027
641,46963112
642,71878212
643,16031513
644,879106
645,32917313
646,110247337
647,45209421
648,110222097
649,110085077
650,110149233
651,4877138
652,72927699
653,699222
654,5149970
655,1221709
656,50826446
657,3621297
658,5304735
659,2956558
660,86783219
661,110118701
662,84585289
663,110084273
664,17236096
665,72124938
666,1097863
667,16027906
668,625007
669,17408246
670,110101629
671,2936414
672,122162073
673,3839761
674,3577456
675,705824
676,9550389
677,603799
678,2871937
679,7356563
680,137628657
681,1113677
682,71870942
683,129574454
684,12777258
685,740791
686,17537994
687,4670464
688,68356
689,331833
690,1026139
691,667001
692,53575132
693,72011938
694,993357
695,53187821
696,15988908
697,86263585
698,53532157
699,4522634
700,72870519
701,2914243
702,17461188
703,131923115
704,135658420
705,42885980
706,168046141
707,129611976
708,60919
709,369619
710,269400
711,1091170
712,3638338
713,53178236
714,70727452
715,28768044
716,168314622
717,4879817
718,124217043
719,51364407
720,75166035
721,45228613
722,4231007
723,2725908
724,4976666
725,882779
726,110092483
727,16231476
728,707664
729,19695974
730,121509563
731,2979901
732,110110736
733,18588950
734,50808176
735,122245343
736,305038
737,1247096
738,6490917
739,5292029
740,11476171
741,91906745
742,110122298
743,36466276
744,5358385
745,14915533
746,99823448
747,1328964
748,6501373
749,1927986
750,4168898
751,20856442
752,3836721
753,1204412
754,1440248
755,938163
756,673502
757,45227692
758,870273
759,53615665
760,23608606
761,46042641
762,121518294
763,3157955
764,91908908
765,10005966
766,1147070
767,17485839
768,24464563
769,42109726
770,122561181
771,662420
772,17972126
773,110211824
774,53464326
775,50972733
776,75441128
777,3230318
778,14795463
779,25285430
780,4769123
781,121513039
782,26286017
783,75462435
784,1825196
785,2364026
786,74241286
787,8137919
788,22587182
789,2876933
790,2680169
791,124078322
792,16191719
793,2909384
794,4026145
795,5530
796,46382675
797,129614137
798,121019490
799,99828385
800,667555
801,2936396
802,4376376
803,53098447
804,122162131
805,16032675
806,3722012
807,610
808,757
809,3698251
810,72012273
811,110260890
812,110086460
813,49654940
814,84599113
815,86265262
816,2761171
817,53204932
818,121023208
819,7125893
820,3235938
821,9714
822,5417
823,1473406
824,17491818
825,51070568
826,44824994
827,1122989
828,46330066
829,5101599
830,5303351
831,110103880
832,124040875
833,755504
834,604621
835,72057974
836,17469958
837,127251077
838,121508578
839,16861165
840,2217997
841,53049168
842,761903
843,121584246
844,84596779
845,84595291
846,83276651
847,92420276
848,8851864
849,16269711
850,1320635
851,9354749
852,20943119
853,1531830
854,2788514
855,17138680
856,53159528
857,15995263
858,3279
859,53167191
860,24818835
861,2856745
862,2728477
863,40613246
864,1757707
865,16194222
866,16423013
867,20949891
868,110259747
869,22583019
870,664787
871,3360564
872,4895571
873,124212600
874,92606877
875,122243482
876,930654
877,8694786
878,3812674
879,110222129
880,122245335
881,5408153
882,1357191
883,74577094
884,11201035
885,9884060
886,45222676
887,2438324
888,687202
889,4889593
890,32606541
891,20925410
892,5307507
893,683375
894,1164517
895,17599464
896,18563010
897,3863910
898,16301529
899,16639637
900,771629
901,46340174
902,126853790
903,71158
904,45883560
905,4919428
906,19509414
907,2816350
908,16304259
909,47058258
910,352329
911,871566
912,803945
913,76057148
914,30889490
915,45899690
916,4249203
917,131942654
918,46853357
919,131935574
920,3558483
921,1121835
922,587330
923,5174433
